epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,8341.58,0.41351,0.20522,0.013,0.84327,0.67711,0.77361,0.66149,0.65895,1.10775,0.02258,0.000861553,0.000861553,0.000861553
124,8716.68,0.41406,0.21492,0.01297,0.81796,0.67578,0.77226,0.66022,0.66217,1.12614,0.02263,0.000859389,0.000859389,0.000859389
125,9092.16,0.41554,0.20437,0.01299,0.81378,0.67753,0.77395,0.66215,0.66144,1.12786,0.02261,0.00085721,0.00085721,0.00085721
126,9467.52,0.41312,0.20641,0.01293,0.81209,0.67166,0.77309,0.6624,0.66029,1.13663,0.02257,0.000855018,0.000855018,0.000855018
127,9841.43,0.40965,0.20257,0.01276,0.81978,0.67029,0.77278,0.6624,0.65869,1.13914,0.02252,0.000852812,0.000852812,0.000852812
128,10217,0.41069,0.19942,0.01284,0.82129,0.65771,0.76793,0.65861,0.66221,1.10402,0.02264,0.000850592,0.000850592,0.000850592
129,10593.4,0.41089,0.20003,0.01279,0.82165,0.66366,0.76997,0.66124,0.66386,1.10255,0.02272,0.000848358,0.000848358,0.000848358
130,10967.7,0.41042,0.19916,0.0128,0.8083,0.67299,0.77375,0.66429,0.66333,1.0996,0.02267,0.000846111,0.000846111,0.000846111
131,11342.7,0.40256,0.19725,0.01259,0.8011,0.68155,0.77412,0.66488,0.65829,1.10116,0.02251,0.000843851,0.000843851,0.000843851
132,11717.1,0.40399,0.19433,0.01264,0.82068,0.66587,0.77378,0.66446,0.65835,1.10051,0.02252,0.000841577,0.000841577,0.000841577
133,12095.7,0.40318,0.19439,0.01258,0.82184,0.66559,0.775,0.66597,0.66007,1.09406,0.02257,0.00083929,0.00083929,0.00083929
134,12459.7,0.40633,0.20409,0.01268,0.79811,0.68308,0.77327,0.6632,0.65862,1.09543,0.02253,0.000836989,0.000836989,0.000836989
135,12798,0.39808,0.19304,0.01242,0.79278,0.68368,0.77378,0.66317,0.65571,1.10279,0.02246,0.000834676,0.000834676,0.000834676
136,13136,0.4005,0.20203,0.01238,0.84601,0.65341,0.77331,0.66484,0.65519,1.10813,0.02245,0.000832349,0.000832349,0.000832349
137,373.04,0.37103,0.14135,0.01162,0.84402,0.6534,0.77378,0.66384,0.65625,1.107,0.02247,0.00083001,0.00083001,0.00083001
138,733.884,0.39687,0.17153,0.01236,0.79213,0.68388,0.77489,0.66438,0.65583,1.11114,0.02248,0.000827658,0.000827658,0.000827658
139,1097.28,0.40015,0.18259,0.01254,0.79697,0.67975,0.77477,0.66404,0.656,1.10986,0.02246,0.000825293,0.000825293,0.000825293
140,1452.68,0.41185,0.20336,0.01288,0.80094,0.68366,0.77647,0.6656,0.65634,1.11148,0.0225,0.000822915,0.000822915,0.000822915
141,1809.75,0.41253,0.2049,0.01298,0.78777,0.68617,0.77551,0.66414,0.65705,1.10526,0.02252,0.000820525,0.000820525,0.000820525
142,2165.15,0.40604,0.20647,0.01273,0.78339,0.68844,0.77364,0.66214,0.65659,1.11218,0.02251,0.000818122,0.000818122,0.000818122
143,2522.74,0.40601,0.19837,0.01275,0.80251,0.6847,0.77385,0.66199,0.65708,1.11095,0.02253,0.000815707,0.000815707,0.000815707
144,2881.26,0.4083,0.19648,0.01271,0.80179,0.682,0.77335,0.6631,0.65894,1.10772,0.02257,0.00081328,0.00081328,0.00081328
145,3239.21,0.40661,0.20621,0.01267,0.80708,0.67597,0.76998,0.66269,0.65853,1.10854,0.02256,0.000810841,0.000810841,0.000810841
146,3597.45,0.4062,0.19785,0.0127,0.8123,0.67848,0.77177,0.66462,0.65932,1.10573,0.02259,0.000808389,0.000808389,0.000808389
147,3953.56,0.40014,0.18777,0.01253,0.82734,0.67575,0.76938,0.66216,0.65976,1.11007,0.02263,0.000805925,0.000805925,0.000805925
148,4312.52,0.39713,0.19754,0.01236,0.82798,0.67774,0.76969,0.66276,0.66306,1.10674,0.02268,0.00080345,0.00080345,0.00080345
149,4670.99,0.40493,0.19319,0.0126,0.82638,0.6783,0.76945,0.66296,0.6615,1.1074,0.02264,0.000800963,0.000800963,0.000800963
150,5028.66,0.3967,0.19535,0.01238,0.84545,0.6603,0.76714,0.65942,0.66387,1.11767,0.02272,0.000798464,0.000798464,0.000798464
151,5386.97,0.4013,0.19641,0.01247,0.82295,0.68562,0.76861,0.66038,0.66356,1.11748,0.02269,0.000795954,0.000795954,0.000795954
152,5744.21,0.39809,0.18873,0.01239,0.86904,0.65927,0.7651,0.65644,0.66319,1.12031,0.02269,0.000793432,0.000793432,0.000793432
153,6101.21,0.39347,0.19343,0.01227,0.86711,0.66839,0.77051,0.6604,0.66366,1.11174,0.02269,0.000790898,0.000790898,0.000790898
154,6458.03,0.39,0.184,0.01223,0.86742,0.66839,0.76938,0.65936,0.66294,1.10721,0.02267,0.000788354,0.000788354,0.000788354
155,6816.81,0.3924,0.1825,0.01229,0.86833,0.66632,0.76878,0.65953,0.66224,1.11323,0.02263,0.000785798,0.000785798,0.000785798
156,7173.87,0.38328,0.17885,0.01182,0.87101,0.66413,0.77347,0.6633,0.66237,1.10899,0.02264,0.000783231,0.000783231,0.000783231
157,7532.32,0.38845,0.18475,0.01218,0.86901,0.67073,0.77271,0.66247,0.66296,1.10002,0.02266,0.000780653,0.000780653,0.000780653
158,7890.05,0.38231,0.1793,0.01195,0.87371,0.66736,0.77452,0.66413,0.66371,1.10514,0.02267,0.000778065,0.000778065,0.000778065
